Position,Team,Player,Date,Value
Pitcher,Team1,A4,06/12/19,71
Pitcher,Team1,A4,06/04/19,72
Pitcher,Team1,A4,05/30/19,77
Pitcher,Team1,A4,05/23/19,85
Pitcher,Team1,A4,05/16/19,83
Pitcher,Team1,A4,05/09/19,69
Pitcher,Team1,A4,05/02/19,77
Pitcher,Team1,A4,04/26/19,64
Pitcher,Team1,A5,07/31/19,50
Pitcher,Team1,A5,07/26/19,59
Pitcher,Team1,A5,07/19/19,56
Pitcher,Team1,A5,07/06/19,56
Pitcher,Team1,A5,06/25/19,57
Pitcher,Team1,A5,06/15/19,55
Pitcher,Team1,A5,06/11/19,61
Pitcher,Team1,A5,06/09/19,69
Pitcher,Team1,A5,06/05/19,57
Pitcher,Team1,A5,05/28/19,51
Pitcher,Team1,A5,05/24/19,64
Pitcher,Team1,A5,05/22/19,70
Pitcher,Team1,A5,05/10/19,59
Pitcher,Team1,A6,03/11/20,50
Pitcher,Team1,A6,08/13/19,56
Pitcher,Team1,A6,08/06/19,52
Pitcher,Team1,A6,08/03/19,60
Pitcher,Team1,A6,07/26/19,55
Pitcher,Team1,A6,07/05/19,46
Pitcher,Team1,A6,06/25/19,46
Pitcher,Team1,A6,06/14/19,49
Pitcher,Team1,A6,06/07/19,49
Pitcher,Team1,A6,06/04/19,47
Pitcher,Team1,A6,05/28/19,56
Pitcher,Team1,A6,05/26/19,55
Pitcher,Team1,A6,05/08/19,55
Pitcher,Team1,A6,05/05/19,56
Pitcher,Team1,A7,08/04/19,75
Pitcher,Team1,A7,06/16/19,57
Pitcher,Team1,A7,06/04/19,52
Pitcher,Team1,A7,05/30/19,68
Pitcher,Team1,A7,05/18/19,66
Pitcher,Team1,A7,05/13/19,84
Pitcher,Team1,A7,05/09/19,55
Pitcher,Team1,A7,05/01/19,59
Pitcher,Team1,A8,08/03/19,69
Pitcher,Team1,A8,07/14/19,67
Pitcher,Team1,A8,07/01/19,50
Pitcher,Team1,A8,06/27/19,58
Pitcher,Team1,A8,06/16/19,62
Pitcher,Team1,A8,06/10/19,61
Pitcher,Team1,A8,05/31/19,57
Pitcher,Team1,A8,05/18/19,55
Pitcher,Team1,A8,05/13/19,58
Pitcher,Team1,A8,05/05/19,59
Pitcher,Team1,A8,05/02/19,72
Pitcher,Team1,A8,04/29/19,54
Pitcher,Team1,A8,03/12/20,69
Pitcher,Team1,A8,03/02/20,63
Pitcher,Team1,A8,02/24/20,57
Pitcher,Team1,A8,02/18/20,57
Pitcher,Team1,A8,02/13/20,64
Pitcher,Team1,A8,02/03/20,60
Pitcher,Team1,A8,01/27/20,58
Pitcher,Team1,A8,08/08/19,54
Pitcher,Team1,A8,08/05/19,58
Pitcher,Team1,A8,06/27/19,54
Pitcher,Team1,A8,06/16/19,56
Pitcher,Team1,A8,06/04/19,57
Pitcher,Team1,A8,05/27/19,59
Pitcher,Team1,A8,05/24/19,64
Pitcher,Team1,A8,05/10/19,67
Pitcher,Team1,A8,04/28/19,50
Pitcher,Team1,A9,03/12/20,76
Pitcher,Team1,A9,08/06/19,80
Pitcher,Team1,A9,07/11/19,61
Pitcher,Team1,A9,06/16/19,52
Pitcher,Team1,A9,06/10/19,54
Pitcher,Team1,A9,06/04/19,54
Pitcher,Team1,A9,05/28/19,80
Pitcher,Team1,A9,05/24/19,68
Pitcher,Team1,A9,05/22/19,69
Pitcher,Team1,A10,02/28/20,77
Pitcher,Team1,A10,02/26/20,71
Pitcher,Team1,A10,02/25/20,58
Pitcher,Team1,A10,01/27/20,66
Pitcher,Team1,A10,08/05/19,69
Pitcher,Team1,A10,07/31/19,66
Pitcher,Team1,A10,07/30/19,63
Pitcher,Team1,A10,07/27/19,64
Pitcher,Team1,A10,07/17/19,73
Pitcher,Team1,A10,07/12/19,73
Pitcher,Team1,A10,07/09/19,71
Pitcher,Team1,A10,07/06/19,73
Pitcher,Team1,A10,07/02/19,64
Pitcher,Team1,A10,06/27/19,72
Pitcher,Team1,A10,06/24/19,65
Pitcher,Team1,A10,06/15/19,68
Pitcher,Team1,A10,06/11/19,72
Pitcher,Team1,A10,06/06/19,78
Pitcher,Team1,A10,05/30/19,70
Pitcher,Team1,A10,05/13/19,70
Pitcher,Team1,A10,05/07/19,67
Pitcher,Team1,A10,05/04/19,65
Pitcher,Team1,A10,04/30/19,62
Pitcher,Team1,A10,04/29/19,63
Pitcher,Team1,A11,03/12/20,79
Pitcher,Team1,A11,03/02/20,73
Pitcher,Team1,A11,02/24/20,79
Pitcher,Team1,A11,02/18/20,66
Pitcher,Team1,A11,02/03/20,67
Pitcher,Team1,A11,08/08/19,80
Pitcher,Team1,A11,06/16/19,43
Pitcher,Team1,A11,05/25/19,69
Pitcher,Team1,A11,05/19/19,84
Pitcher,Team1,A11,05/15/19,55
Pitcher,Team1,A11,05/09/19,59
Pitcher,Team1,A11,04/30/19,46
Pitcher,Team1,A12,08/06/19,60
Pitcher,Team1,A12,07/25/19,57
Pitcher,Team1,A12,07/13/19,52
Pitcher,Team1,A12,06/16/19,49
Pitcher,Team1,A12,06/10/19,60
Pitcher,Team1,A12,05/31/19,53
Pitcher,Team1,A12,05/29/19,59
Pitcher,Team1,A12,05/19/19,65
Pitcher,Team1,A12,05/17/19,70
Pitcher,Team1,A12,05/13/19,67
Pitcher,Team1,A12,05/05/19,56
Pitcher,Team1,A12,04/26/19,56
Pitcher,Team1,A13,03/02/20,70
Pitcher,Team1,A13,02/24/20,59
Pitcher,Team1,A13,02/18/20,57
Pitcher,Team1,A13,02/03/20,53
Pitcher,Team1,A13,01/27/20,56
Pitcher,Team1,A13,08/08/19,44
Pitcher,Team1,A13,06/16/19,36
Pitcher,Team1,A13,05/29/19,45
Pitcher,Team1,A13,05/17/19,50
Pitcher,Team1,A13,05/14/19,49
Pitcher,Team1,A13,05/09/19,43
Pitcher,Team1,A13,05/04/19,47
Pitcher,Team1,A14,03/11/20,64
Pitcher,Team1,A14,03/04/20,60
Pitcher,Team1,A14,08/27/19,49
Pitcher,Team1,A14,08/26/19,61
Pitcher,Team1,A14,08/21/19,50
Pitcher,Team1,A14,08/05/19,52
Pitcher,Team1,A14,07/30/19,60
Pitcher,Team1,A14,07/25/19,48
Pitcher,Team1,A14,07/13/19,50
Pitcher,Team1,A14,07/07/19,51
Pitcher,Team1,A14,06/11/19,44
Pitcher,Team1,A14,06/06/19,49
Pitcher,Team1,A14,05/25/19,49
Pitcher,Team1,A14,05/04/19,47
Pitcher,Team1,A14,04/27/19,46
Pitcher,Team1,A15,03/11/20,57
Pitcher,Team1,A15,03/03/20,57
Pitcher,Team1,A15,08/07/19,47
Pitcher,Team1,A15,08/01/19,55
Pitcher,Team1,A15,07/02/19,48
Pitcher,Team1,A15,06/30/19,54
Pitcher,Team1,A15,06/26/19,52
Pitcher,Team1,A15,06/18/19,50
Pitcher,Team1,A15,06/15/19,57
Pitcher,Team1,A15,06/10/19,60
Pitcher,Team1,A15,06/03/19,63
Pitcher,Team1,A15,05/31/19,57
Pitcher,Team1,A15,05/30/19,53
Pitcher,Team1,A15,05/28/19,56
Pitcher,Team1,A15,05/27/19,63
Pitcher,Team1,A15,05/24/19,61
Pitcher,Team1,A15,05/23/19,56
Pitcher,Team1,A15,05/21/19,55
Pitcher,Team1,A15,05/20/19,60
Pitcher,Team1,A15,05/16/19,56
Pitcher,Team1,A15,05/13/19,55
Pitcher,Team1,A15,05/10/19,53
Pitcher,Team1,A15,05/07/19,50
Pitcher,Team1,A15,05/03/19,54
Pitcher,Team1,A15,05/02/19,54
Pitcher,Team1,A15,04/30/19,62
Pitcher,Team1,A15,04/29/19,54
Pitcher,Team1,A15,04/26/19,51
Pitcher,Team1,A16,03/02/20,47
Pitcher,Team1,A16,02/24/20,49
Pitcher,Team1,A16,02/18/20,51
Pitcher,Team1,A16,02/13/20,46
Pitcher,Team1,A16,02/03/20,48
Pitcher,Team1,A16,01/27/20,49
Pitcher,Team1,A16,08/06/19,45
Pitcher,Team1,A16,08/01/19,46
Pitcher,Team1,A16,07/26/19,47
Pitcher,Team1,A16,07/17/19,48
Pitcher,Team1,A16,07/06/19,51
Pitcher,Team1,A16,07/02/19,48
Pitcher,Team1,A16,06/27/19,48
Pitcher,Team1,A16,06/24/19,49
Pitcher,Team1,A17,03/11/20,57
Pitcher,Team1,A17,03/03/20,55
Pitcher,Team1,A17,02/28/20,56
Pitcher,Team1,A17,02/26/20,51
Pitcher,Team1,A17,02/24/20,58
Pitcher,Team1,A17,02/19/20,60
Pitcher,Team1,A17,02/17/20,57
Pitcher,Team1,A17,02/14/20,55
Pitcher,Team1,A17,01/27/20,52
Pitcher,Team1,A17,08/23/19,49
Pitcher,Team1,A17,08/14/19,52
Pitcher,Team1,A17,08/12/19,50
Pitcher,Team1,A17,06/21/19,55
Pitcher,Team1,A17,06/18/19,51
Pitcher,Team1,A17,06/14/19,58
Pitcher,Team1,A17,06/13/19,58
Pitcher,Team1,A17,06/11/19,57
Pitcher,Team1,A17,06/10/19,58
Pitcher,Team1,A17,06/06/19,59
Pitcher,Team1,A17,06/03/19,56
Pitcher,Team1,A17,05/31/19,58
Pitcher,Team1,A17,05/30/19,58
Pitcher,Team1,A17,05/28/19,59
Pitcher,Team1,A17,05/27/19,61
Pitcher,Team1,A17,05/24/19,66
Pitcher,Team1,A17,05/23/19,64
Pitcher,Team1,A17,05/21/19,59
Pitcher,Team1,A17,05/20/19,58
Pitcher,Team1,A17,05/17/19,50
Pitcher,Team1,A17,05/16/19,53
Pitcher,Team1,A17,05/14/19,55
Pitcher,Team1,A17,05/13/19,56
Pitcher,Team1,A17,05/10/19,56
Pitcher,Team1,A18,03/02/20,58
Pitcher,Team1,A18,02/24/20,53
Pitcher,Team1,A18,02/18/20,56
Pitcher,Team1,A18,02/03/20,50
Pitcher,Team1,A18,08/04/19,50
Pitcher,Team1,A18,07/26/19,52
Pitcher,Team1,A18,07/01/19,50
Pitcher,Team1,A18,06/27/19,48
Pitcher,Team1,A18,06/16/19,49
Pitcher,Team1,A18,05/10/19,47
Pitcher,Team1,A18,05/04/19,53
Pitcher,Team1,A18,04/28/19,44
